SAMPLE,ELEMENT,SITE_TYPE,TAXON,PERMIL
27,CARBON,Fresh,Periphyton,-27.657332135368694
27,CARBON,Fresh,Riparian,-29.77771748394116
27,SULFUR,Fresh,Algae,11.510668585957557
27,SULFUR,Fresh,Coarse Detritus,2.104716136746222
27,SULFUR,Fresh,Macrophyte,8.21918764544801
27,SULFUR,Fresh,Periphyton,2.974926064118419
27,SULFUR,Fresh,Riparian,11.819004434380982
27,NITROGEN,Fresh,Algae,8.562704250717607
27,NITROGEN,Fresh,Coarse Detritus,5.5968216828925685
27,NITROGEN,Fresh,Macrophyte,-1.1197791799772912
27,NITROGEN,Fresh,Periphyton,13.789783177192557
27,NITROGEN,Fresh,Riparian,4.966090396639837
